,sentence,category_targets
18243,"В итоге за 2 дня все оформил, стал ""счастливым обладателем автокредита"", но ощущения от работы сотрудников отдела автокредитования банка ВТБ на Ленина 27, в особенности Яны, остались очень положительные.",0
18246,"Вновь появились свободные средства, и проходя мимо отделения банка решил поинтересоваться вопросом открытия вклада в пользу третьего лица... Итак захожу в отделение, приветливые сотрудники сразу поинтересовались чем могут помочь.",2
18251,"Сотрудник, выслушав чего я собственно хочу, подобрал в итоге для меня наименее затратный (а точнее вообще бесплатный) вариант (хотя мог бы, наверняка, посоветовать тот, который стоил бы мне дополнительных затрат, а ему, наверное, дополнительного вознаграждения).",2
18252,"Мало того они мне угрожают испортить кредитную историю, которой я дорожу как примерный плательщик ( не только в этом банке), они выставили мне штрафы, пени, звонят родным и заставляют их оплатить мой долг, иначе и у них, якобы, будет испорчена кредитная история на 10 лет!!!",4
18255,"Ужасный банк, всем рекомендую обходить стороной!",2
18264,"Встреча была назначена на 09.10.2020 г. с 9.00 до 11.00 с представителем банка, утром я звонила в колл-центр и мне звонил представитель и подтвердили встречу.",0
18268,"Уже около двух лет наша компания обслуживается в доп. офисе ""АиФ"", и в плюс к остальным всем понятным положительным моментам этого банка (приятные тарифы на ведение счета, интернет-банкинга в системе PSB-online, работающего на редкость стабильно), хочется отметить профессионализм сотрудников отдела по работе с юр.лицами.",2
18268,"Уже около двух лет наша компания обслуживается в доп. офисе ""АиФ"", и в плюс к остальным всем понятным положительным моментам этого банка (приятные тарифы на ведение счета, интернет-банкинга в системе PSB-online, работающего на редкость стабильно), хочется отметить профессионализм сотрудников отдела по работе с юр.лицами.",3
18269,Я такого неадекватного сотрудника не встречала ни в одном КЦ.,2
18270,Я порядочные и ответственный человек!,0
18272,ПОЛГОДА мы не можем решить вопрос!!!!,0
18278,БРС как всегда в своем репертуаре.,2
18283,"""Отлично""- говорю я. И на следующий день иду в отделение № 9038/01744, так как оно находится рядом с работой.",0
18287,"При этом всегда транслируют клиенту, что «вы не правы, потому что у нас так заведено», и сотрудник никогда не будет думать о вас, он будет думать о регламенте банка и как самому не поиметь проблем.",0
18289,"На звонки и обращения по электронной почте - отговорки и отписки типа ""не можем получить ответ от Поставщика услуг по оплате ЖКХ"".",2
18290,"Когда же я пришла в следующий назначенный день, то оператор-кассир сказал, что компенсация мне не положена, так как моих данных нет в компенсационных ведомостях и свою сберкнижку можете просто выбросить!!!",0
18297,"Желаю всем сотрудникам благополучия, роста профессионализма и карьерного роста",0
18302,"Я считаю, что это вообще не профессионально, особенно в настоящих условиях, когда у нас карантин.",2
18307,Таким образом к абсолютно кривой и неудобной системе информирования о задолженностях прибавилось еще и банальный обман.,0
18312,Альфа за это сминусовала с меня 4000 Альфа баллов (=4000 руб).,3
18313,"Бред, товарищи, увольте аналитиков и их руководителей.",0
18315,"Особо хочу отметить работу аналитического департамента банка, ведущий аналитик Гусев Владимир Павлович предоставляет отличные аналитические материалы, помогающие ориентироваться на Российском рынке.",2
18316,"Впечатление испорчено, ещё не успев воспользоваться услугами банка.",0
18318,"Сотрудница Наталья чуткий внимательный человек, с пониманием отнеслась ко мне и оперативно помогла в данной ситуации, в результате чего вопрос был решен положительно.",0
18319,"Когда средства вернутся, закрою условно-бесплатный кошелёк ГИС ЖКХ и счета в Почта банке, и буду по старому оплачивать коммуналку с имеющихся счетов в других банках за небольшую комиссию, нормальная работа стоит этого.",2
18323,"Это очень круто, иметь такую профессиональную поддержку.",2
18325,"После того, как спустя несколько безуспешных попыток расплатиться и последовал отказ в совершении операции!!!",2
18331,"Более того, мне был предоставлен персональный менеджер Анна Амян, прекрасная девушка, профессионал, которая всячески помогала мне с документами и дальнейшими действиями.",0
18335,"В жалобе я указала на отвратительную работу сотрудника, из-за которого я материально пострадала.",2
18339,"В банке есть хорошие условия для вкладов, удобный банк-клиент.",3
18343,"Не с первой ссылки, но наткнетесь на что-то, что уже проиндексировал поисковик и если повезет - информация будет относительно свежей.4.",2
18345,Но особенно меня порадовал подарок на день рождения!,0
18350,"Как ещё этот беспредел пресекать, я и так потратила много сил и нервов на общение с представителями банка.",2
18352,"Благодарю весь коллектив офиса ""Аврора"", особенно хочу отметить персонального менеджера Никиту Р-ва.",0
18357,")Плюс ко всему вышесказанному, в самом начале, при консультации по предварительно одобренной заявке, оператор Наталья выдала распечатку с графиком платежей по желаемому кредиту, с подходящими мне условиями.",0
18361,Обслуживание и квалификация на высшем уровне!,0
18364,"Вывод: информация полученная в смс от банка, информация указанная на сайте банка, информация полученная из телефонного разговора с представителем банка и даже информация полученная непосредственно в офисе (меня там тоже не предупредили, что ""надежный клиент"" должен иметь поручителя) банка является недостоверной, не соответствует действительности и вводит в заблуждение потенциальных клиентов банка.",2
18365,"Банк просто в наглую обманывает и обворовывает людей, при этом делая вид что так и надо",0
18367,Абсолютно хамское отношение клиентов - от операторов до охранника - просто посмотрите камеры с общением операторов и клиентов.,2
18370,Но в приложении про стоп-лимит ни слова не сказано!!!!!!!!!!,2
18371,В том же ВТБ24 половину опций подключить не могут - мало кто умеет;8 ) бесплатно дали флэшку с ключами;9) выгодные тарифы и условия.,2
18372,"Так же нельзя работать... Я не знаю, что предпринять в данной ситуации.",2
18375,"Прошу разобраться в данной проблеме руководство сбербанка и ответить мне, что за великая проблема образовалась по возврату денег, почему вокруг один сплошной обман в этом банке!",2
18378,"Несколько лет являюсь клиентом банка и до последнего момента были только положительные эмоции: сотрудники всегда все подробно объяснят, подскажут как лучше сделать ту или иную операцию.",2
18379,"Буду пользоваться картой и дальше, рекомендую знакомым.",2
18385,"При оформлении к выдаче денежной суммы, он мне озвучил, что при получении я ДОЛЖНА ОПЛАТИТЬ КОМИССИЮ В РАЗМЕРЕ 4%!!!",3
18388,Сегодня уже 05 марта 2020г и до сих пор никакой реакции и тем более ответов я не получил!,2
18395,"?кассир-контроллер, К-ова Елена, отказал мне!",0
18400,Выражаю признательность сотрудникам БинБанка за оперативность в работе и внимательность к клиентам.,0
18402,"Хочу выразить благодарность за высокое качество обслуживания, компетентную помощь, заинтересованность в помощи клиенту.",0
18410,"Кредит классический 9% или немного больше с 10% взносом, жена все платила (по-моему, вовремя)...   а я тока ей деньги отстегивал... Через 9-ть месяцев (последние дни декабря) Все оплатили досрочно!",2
18413,"В этом банке все настроено против людей, сотрудники мягко сказать неучтивы и навязчивы, техника работает через раз. По факту мы внесли в банк всю сумму, а нам присылают пугающие смс о том, что банк внесет нас в черный список неплательщиков.",0
18417,"После того ,как я просидела час в этом ""Прекрасном"" отделении, подошла к консультанту с вопросом есть ли смысл сидеть и ждать и меня вообще сегодня обслужат (отделение работает до 20-00).",0
18419,"Что ж - у вас это очень хорошо получилось, вы уже на самом последнем месте рейтинга и ближайшему оппоненту до вас ой как далеко... Затянулось рассмотрение?",0
18421,Хотим также отметить высокий профессионализм оператора Ирины.,2
18423,"Спустя несколько часов с нами связался мобильный агент Банка Восточный в г. Краснодар, С-в Алексей и радостно сообщил что кредит мне практически одобрен, необходимо только заполнить некоторые бумаги и он готов подъехать ко мне в ближайшее время.",0
18424,Благодарю за отличную работу службу безопасности и специалистов техподдержки.,2
18427,"Вывод один, что операторы очень плохо обучены и не могут ответить грамотно ни на один вопрос, а главное - не могут правильно составить обращение и направить его, что важно, в правильное подразделение.",0
18427,"Вывод один, что операторы очень плохо обучены и не могут ответить грамотно ни на один вопрос, а главное - не могут правильно составить обращение и направить его, что важно, в правильное подразделение.",2
18428,А кататься невозможно - я же работаю в другом городе.,2
18443,Крайне разочарована в возможностях банка.,2
18445,"Выражаю благодарность сотруднику банка ВТБ, ДО № 59, Р-ц Илье Андреевичу, за высокий профессионализм и компетенцию в решении моей проблемы, связанной с ошибкой его коллег.",2
18447,"Я уже писала на данном ресурсе, что мне очень понравилось обслуживание в офисе на Остужева.",0
18449,"Очень доволен обращением, решением и в принципе банком в целом.",0
18454,Как оказалось у карты действительно хорошие условия.,2
18455,Но отношение банка к своим клиентам ужасное.,0
18458,СитиФон - ужаснее сервиса не вообразить.3.,0
18477,"Надо признаться, что сама карточка имеет достаточно необычный дизайн, она действительно ""Прозрачная"" и иногда вызывает интерес у кассиров.",2
18480,"Мы с ней взаимодействуем уже не первый раз, и каждый раз я поражаюсь ее положительному настрою.",2
18481,А что тут добавить - очень удобно.4.,2
18486,"- отвечу сразу, то внимание, которое уделяется клиенту, готовность оказать помощь, доброжелательность в общении, вызвали искреннее желание выразить благодарность сотрудникам отделения за их качественный труд!",2
18496,"Чувствуется заинтересованность, высокая клиентоориентированность, компетентность и профессионализм на всех уровнях.",2
18496,"Чувствуется заинтересованность, высокая клиентоориентированность, компетентность и профессионализм на всех уровнях.",0
18497,"Видимо банк, называющий себя лучшим онлайн банком, не знает, что такое хороший и надежный банк.",4
18498,"И после этого банк скажет, извините у нас много работы))) Не в работе дело, а в том, что в банке Вашем некомпетентные сотрудники работают, которые элементарных вещей сделать не могут и работаю по шаблону!!",0
18500,На каждом шагу обман и вымогательство денег!,4
18508,"Вся процедура перерегистрации в мфц и прочие действия - это какой то квест, т.к сотрудники контактного центра некомпетентны ответить ни на один вопрос о порядке действий не в состоянии.",2
18512,"Пользуюсь картой около полу года, пока довольна.",2
18529,"Прошло уже 2 дня, мне никто не перезвонил, деньги мне не вернулись.",2
18532,И прошу отметить и гордится столь ценным сотрудником.,2
18537,"Но в этом отделении, даже не взяв мой паспорт в руки, мне отказали и сказали, что неименные карты в Москве Сбербанк не выдает (т.е. видимо отделение на Бабушкинской, это не Москва).",0
18542,Приятно было быть клиентом МКБ.,2
18543,В итоге получается мне обманным путём предоставили совершенно другой банковский продукт с совершенно другими условиями.,4
18549,"И как клиенту Сбербанка мне теперь стало противно приходить в отделение где руководитель СТУПНИКОВА, по непонятным для меня причинам ходит в отделении задрав свой НОС и делает только то что ей нужно (как будто она не руководитель а целый директор Сбербанка).",0
18553,"Я очень рад, что смог обогатить с помощью ""специалиста"" Александры и директора Ольг Ваш банк на 10 000 рублей!",2
18555,Очень профессиональный и дружный коллектив.,0
18556,И кстати многие жалуются просто мало кому охотой портить праздники.,0
18560,"Специалист тоже вела себя корректно, уточнила цель моего визита и начала вбивать реквизиты в компьютере!",0
18562,"Я хочу поблагодарить менеджера по VIP клиентам Марию К-ну, а также, всех сотрудников банка, которые проявили высокий уровень профессионализма и вовлеченности в решении весьма сложной задачи по восстановлению статуса по архивному кредитному договору.",0
18563,"Хочу отметить хорошую работу сотрудников с физическими лицами и поблагодарить, особенно выделю Сергея - если попадаешь к нему ""праздник души"", получаешь квалифицированную помощь, быстро, четко и вежливо.",0
18565,"В-пятых, такое мелкое жульничество!",0
18575,"Отдельно хочу похвалить контакт-центр: звонят, не «впаривают» новый продукт, а именно предлагают, и новости не спамом сыплются, а именно то, что может меня заинтересовать.",0
18579,"Я был в шоке (справка выдана сразу же, денег ни стоит ни копейки) начитался вся кого тут!",0
18580,Это не поддается никакому описанию вообще.,0
18581,При обращении с просьбой о решении данной проблемы получил достойный отпор.,0
18582,"Артем подсказал, как в личном кабинете самостоятельно найти и сгенерировать ссылку; Параллельно я задавал вопросы касаемо моих платежей, также ответили на все интересующие вопросы (как быстро доходят платежи, как не ошибиться при заполнении платежа, где посмотреть мои лимиты на платежи физ и юр.лицам и в частности, рассказали о том, что могут за меня подготовить все платежи, на этом сэкономлю своё время) Спасибо большое!",2
18586,Сегодня заходил в ВТБ - вышел с хорошим настроением и большим желанием продолжать пользоваться продуктами и услугами этого банка.,0
18587,Считаю это просто недопустимым отношением к своим Клиентам.,0
18593,"почему я должен верить менеджеру, что это программа, и ничего нельзя сделать?",0
18598,"За ноябрь не был начислен кэшбэк, все условия программы статус выполнены, как всегда.",2
18612,И там и там светло и сухо и проценты и обслуживание вежливое и недалеко от дома и график работы удобный и рейтинги у обоих банков достаточно высокие.,3
18613,26.03.2020 до сих пор нет решения по ней!!!,2
18618,"Получается сбербанку просто невыгодно досрочное погашение ипотеки, поэтому они и суют ""палки в колеса"".",2
18624,"Сотрудники говорят, что им не пришел реестр вкладчиков, поэтому денег они выдать не могут!",0
18625,"говорим….под проценты…..под залог… все как положено….мы же у Вас и на квартиры денег брали… и так… все вернули, в срок...и счет расчетный в вашем банке, Вы же все видите….- Дадим!",0
18627,Замечательное отношение к клиентам да????,0
18633,"Сотрудники обманывают, глядя в лицо!!!",0
18638,"Так как это неправомерные действия со стороны банка и наказать сотрудника, который это сделал!",0
18639,"Деньги банк перевел,всё отлично.",2
18643,Выражаю благодарность работникам Совкомбанка за небезразличное отношение к людям.,0
18653,"Хочу выразить благодарность Анастасии Луневой, менеджеру группы ипотечных продаж АО «Райффайзен» (ИЦ «Смоленский», ул. Смоленская-Сенная).",0
18654,"Я в отделение - и внимание, ох как ""прекрасен"" сервис в сбербанке, ох как они ""дорожат"" каждым клиентом мой вопрос был встречен искренним недоумением и фразой - все вопросы по горячей линии.",2
18656,Крайне сильно разочарован в отношении банка к своим клиентам.,2
18662,"Доволен, выражаю свою благодарность за такое мобильное приложение и простоту в общении с Колл-центром.",2
18664,Побольше разнообразных и качественных продуктов и много довольных клиентов!,2
18668,"Думаю,что руководитель данного отделения на Днепропетровской,3,корп.5а будет горд за таких коллег,которые делают все,чтобы Клиент чувствовал себя комфортно и спокойно ,переступая порог Сбербанка 9038/01698.",0
18669,"В который раз приходится сталкиваться с огромными очередями, а самое главное и особенно неприятное - с ужасно долгим ожиданием!",0
18674,Друзья без проблем купили через Альфа-банк по бонусной программе.,2
18677,На данный момент написал заявление в первый отдел полиции на обманные действия.,4
18678,"Весь этот цирк наводит на размышления, что банк пытается мухлевать со вкладами, а сотрудников научили байке про ""типа вы наверно вклад в другом городе открыли"".",2
18683,На данный момент написал заявление в первый отдел полиции на обманные действия.,0
18686,"Я клиент, очень лояльный к банку Тинькофф (был).",2
18688,"Я никому не рекомендую обращаться в данный банк, если вам дороги ваше время и нервы.",2
18689,"Оказывается у меня очень плохая кредитная история, она это видит и вообще мне никто ничего не одобрит нигде, так как у меня просрочки...???!!!",0
18693,"Это по ВАШЕЙ вине такое произошло, а я должна бегать разбираться???",0
18694,Хочу выразить отдельную благодарность - сотрудникам из мини офиса на Тихорецком пр. в СПб и главного офиса на Лиговском пр. (там обслуживаюсь как юр. лицо).,0
18696,"""…Первый раз я столкнулся с ТАКИМ непрофессионализмом.",0
18709,"Проблема в том что при входе в приложение нет моей карты которую я получил, что только не делал,ничего непомогает.. сотрудники звонят конечно по 100 раз и все разные, и каждому нужно заново объяснять это все, и это как минимум мешает работе, почему после одного звонка нельзя это все решить",2
18710,Банком разочарован и возмущен до глубины души.P.S.,2
18711,"Здесь многое зависит не только от банка, но всё же!",2
18718,"На пробу, посмотреть как все будет.",2
18722,"При этом, в общем, менеджеры создают такую суетную ситуацию, что чувствуешь себя как-то странно, ничего не понимаешь и в итоге уходишь полностью надуренным с 235 тысячами, а не с 270, с процентной ставкой не 19%, а по итогу все 100%!",3
18732,"Благодарю за оперативность, внимательность и вежливость!",0
18733,"К сотрудникам филиала претензий нет, они вежливы и в меру оперативны.",0
18734,Приятное общение в чате хороший кешбек.,0
18734,Приятное общение в чате хороший кешбек.,3
18737,"Я обнаружила этот ""милый"" сюрприз в мобильном банке и обратилась в Просвязьбанк через Интернет- звонок по вопросу необоснованного увеличения размера платежа, который не соответствует актуальному графику погашения задолженности по кредитному договору.",0
18744,"Прошу Вас разобраться в сложившейся ситуации, так как на лицо нарушение законодательства и моих прав, так же мне, как постоянному клиенту, который на протяжении нескольких лет оказывал доверие именно Вашему банку, несмотря на то, что я много лет являюсь участником зарплатного проекта Банка ВТБ24 и для меня действуют льготные и выгодные предложения банка, очень неприятна данная ситуация и подход руководства офиса, который проявился в такой форме и я планирую обратиться в надзорные органы - в ЦБ РФ и Роспотребнадзор за разъяснением моих прав и прав банка.",2
18744,"Прошу Вас разобраться в сложившейся ситуации, так как на лицо нарушение законодательства и моих прав, так же мне, как постоянному клиенту, который на протяжении нескольких лет оказывал доверие именно Вашему банку, несмотря на то, что я много лет являюсь участником зарплатного проекта Банка ВТБ24 и для меня действуют льготные и выгодные предложения банка, очень неприятна данная ситуация и подход руководства офиса, который проявился в такой форме и я планирую обратиться в надзорные органы - в ЦБ РФ и Роспотребнадзор за разъяснением моих прав и прав банка.",4
18748,"Вот в такой ""просак"" я попал за 10 лет работы с этим ""приятным"" банком, мало того, что в разгар пандемии они мне отказали в смене телефона дистанционно, сказали идти в офис, так еще и сейчас при том, что моя кредитная карта закончилась (срок действия) истек, они говорят за перевыпуск карты надо платить 1 500р !!!",3
18748,"Вот в такой ""просак"" я попал за 10 лет работы с этим ""приятным"" банком, мало того, что в разгар пандемии они мне отказали в смене телефона дистанционно, сказали идти в офис, так еще и сейчас при том, что моя кредитная карта закончилась (срок действия) истек, они говорят за перевыпуск карты надо платить 1 500р !!!",0
18749,"Если вопрос не стандартный, то переключают с робота на консультанта, ребята работают на все 100%При выполнении условий акций, в которых я участвовала, бонусы приходили как только все условия выполнялись Я не устаю восхищаться работой этого банка, его оперативностью в решении вопросов.",2
18751,"Очень приятно, когда сотрудник слушает, слышит и помогает решить проблему, проявляя максимальный уровень эмпатии.",0
18752,"Я покинул банк Пересвет глубоко оскорбленным действиями охраны, у меня даже возникло чувство, что я побывал в аду или в застенках гестапо, а совсем не в райских кущах.",0
18758,"Хотел бы выразить огромную благодарность Ведущему менеджеру дополнительного офиса ""Коптевское"" Федоровой Марине Юрьевне  За ее заинтересованность и профессионализм в решении вопроса открытия моего счета в качестве ИНДИВИДУАЛЬНОГО ПРЕДПРИНИМАТЕЛЯ.",0
18759,Исходя из условий акции: производя транзакцию картой Tinkoff Black кэшбэк составляет 10% (у меня как раз такая).,3
18759,Исходя из условий акции: производя транзакцию картой Tinkoff Black кэшбэк составляет 10% (у меня как раз такая).,2
18763,"Работает замечательно, платежи через Интернет-банк проходят замечательно, а уж про оплаты в магазинах и говорить нечего - у кассира еще чек из терминала не вылез, а я уже СМС получаю.",0
18764,"Нравится с ним работать, неплохие условия кредитования, есть отделение возле дома.",3
18769,Потеряно полдня абсолютно впустую и деньги на проезд тоже никто не вернет.,0
18774,Альфа за это сминусовала с меня 4000 Альфа баллов (=4000 руб).,2
18783,Желаю невредных клиентов (вроде меня)))),0
18786,За что Русскому стандарту говорю – спасибо!,0
18791,"После долгих попыток попасть внутрь мне открыли и сказали, что программа все равно уже не работает и деньги принять не могут.",0
18794,"Этого видимо мало было… Мне пришлось ехать в банк, снова написать заявление текущей датой и при этом потерять 1800 руб, потому что старое заявление с той датой не проходит, выдали новое заявление текущей датой.",2
18797,"если вы это делаете с целью чтобы сторонние банки зарабатывали на комиссии не ждите я откажусь от услуг вашего банка и уйду в другой.13.10.2020 в 12.08 звонок на горячую линию ответ ""мы знаем об этой неисправности наши специалисты работают над ней сроки исправления нам не сообщили Уже третий день в большом банке не могут исправить эту проблему и ничего не знают о сроках ужас!",2
18798,"Эта организация, вопреки всем законам и здравому смыслу просто терроризирует меня телефонными звонками.",0
18801,Мы остались очень довольны результатом.,0
18802,"Оказалось, что эта весьма обаятельная и симпатичная девушка является и начальником сего отделения.",0
18803,"), и вообще мне одобрено уже со страховкой и программа выдала со страховкой и т.д. (что полностью не соответствует пункту 5.2. в ""Заявлении на страховании по ДСЖиЗ и НПР).",2
18807,За такой шикарный сервис Сбербанк просит около 2000 в год только за карту БЕЗ ФИЗИЧЕСКОГО НОСИТЕЛЯ!!!,3
18813,"Вот так просто потерять 2 100 денег в это трудное время, когда на счету каждая копейка, для меня было страшно.",2
18815,"К слову сказать, года 2 назад я разругался с ситибанком из-за ""особого"" отношения к клиенту с кредитными картами с безупречной историей лет эдак в пять-шесть.",2
18827,"Не далее как в конце августа оставлял крайне негативный отзыв о том, что случайно обнаружил через Интернет-банк, как без моего ведома была заказана и якобы мною же получена банковская карта.",2
18833,Приятное общение в чате хороший кешбек.,2
18837,"В кабинет стоит очередь 5 человек и никого не принимают,говорят консультаций не дают.",0
18838,"Ужасный сервис,вернее его нет вообще!",2
18844,Это был обман или безответственность работников?,4
18848,"В очереди, кстати, узнал, что многие также закрывают счета из-за плохих ставок и отвратительного обслуживания.",3
18867,"Больше не хочется попадать в такую ситуацию, а заставлять людей смотреть каждый месяц изменяющиеся условия обслуживания-это уже полное неуважение к своим клиентам.",0
18868,Т.е. банк меня попросту обманул!,0
18873,Не оказали сотрудничество в беде!,0
18880,"Были неприятные инциденты, но в целом обслуживание устраивало.",0
18882,Начиналось все очень даже хорошо.,0
18883,"В общем, я благодарен тем людям, кто работают в ПСБ, спасибо за ваш труд!",0
18903,Любимый Промсвязьбанк поздравляю тебя с 14 февраля и днем всех влюбленных.,0
18906,То есть можно ничего и не получить!,0
18908,"Мне послали в колл-центр, чтобы отключить все услуги там (якобы в отделении это невозможно сделать).",0
18909,""", никто не знает, где она, и никто не хочет ее разыскать!",2
18923,"Но тут начался треш, ад, и угар со стороны Сбербанка.",2
18930,"Мало того, что причинили массу неудобств, самостоятельно не оповестили об ошибке и даже не принесли извинения, так еще и когда я, проходя мимо отделения, зашла туда, объяснила ситуацию, мне очень недовольно ответили, что раз мне в службе поддержки не обещали, что деньги вернут сегодня, то нечего было и приходить, ЖДИТЕ; если до завтрашнего вечера деньги не вернут, после и приходите.",2
18937,"Реквизиты верные, так как в марте уже платил по ним.",2
18944,Сразу положил на СВЕРХСТЧЕТ необходимую сумму для бесплатного обслуживания.,2
18945,"Дистанционно одобрили рефинансирование ипотеки , передали в отделение на Кутузовском, сообщили , что необходимо направить ещё необходимые документы для одобрения,что я и сделал.",2
18947,Нравилось как работает сотрудник Наталья.,0
18948,"Итог: ужаснейший банк, которому наплевать на своих клиентов, которому я советую пересмотреть свое отношение к клиентам, а так же заставлять своих сотрудников уведомлять клиентов обо всех комиссиях по услугам, входящий в ежемесячный платеж.",0
18953,"Была бы оценка 6, ее бы и поставил!",2
18954,"По телефону включился автоответчик и давай рассказывать что-то, так как время было позднее, то мама просто положила трубку... учитывая, что утром родителям, да и всякому нормальному человеку, на работу.",0
18956,"Незаконно присваивает средства, обжаловать не получается, вернуть средства равно нулю.",3
